,0
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.1875, 'recall': 0.02702702702702703, 'f1': 0.047244094488188976, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.08247422680412371, 'recall': 0.06896551724137931, 'f1': 0.07511737089201877, 'number': 116}"
LesseeOperatingLeaseTermOfContract,"{'precision': 0.3283018867924528, 'recall': 0.3918918918918919, 'f1': 0.3572895277207392, 'number': 222}"
OperatingLeaseCost,"{'precision': 0.28125, 'recall': 0.1956521739130435, 'f1': 0.23076923076923078, 'number': 138}"
OperatingLeaseExpense,"{'precision': 0.29357798165137616, 'recall': 0.3076923076923077, 'f1': 0.3004694835680751, 'number': 104}"
OperatingLeaseLiability,"{'precision': 0.22916666666666666, 'recall': 0.24581005586592178, 'f1': 0.2371967654986523, 'number': 179}"
OperatingLeasePayments,"{'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'number': 105}"
OperatingLeaseRightOfUseAsset,"{'precision': 0.18454935622317598, 'recall': 0.4236453201970443, 'f1': 0.2571001494768311, 'number': 203}"
OperatingLeaseWeightedAverageDiscountRatePercent,"{'precision': 0.728, 'recall': 0.8053097345132744, 'f1': 0.7647058823529412, 'number': 113}"
OperatingLeaseWeightedAverageRemainingLeaseTerm1,"{'precision': 0.7520661157024794, 'recall': 0.7647058823529411, 'f1': 0.7583333333333334, 'number': 119}"
OperatingLeasesRentExpenseNet,"{'precision': 0.08695652173913043, 'recall': 0.07692307692307693, 'f1': 0.08163265306122448, 'number': 26}"
overall_precision,0.31109643328929987
overall_recall,0.31997282608695654
overall_f1,0.31547220361687883
overall_accuracy,0.9669029623022394
,
CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,"{'precision': 0.8157894736842105, 'recall': 0.27927927927927926, 'f1': 0.4161073825503355, 'number': 111}"
LeaseAndRentalExpense,"{'precision': 0.06779661016949153, 'recall': 0.1111111111111111, 'f1': 0.08421052631578949, 'number': 36}"
LesseeOperatingLeaseRenewalTerm,"{'precision': 0.4715447154471545, 'recall': 0.5, 'f1': 0.48535564853556484, 'number': 116}"
