,tokens,ner_tags
0,"['Advances', 'under', 'these', 'agreements', 'bear', 'interest', 'at', 'annual', 'rates', 'ranging', 'from', 'one', 'to', 'three', 'percent', ',', 'subject', 'to', 'periodic', 'adjustment', 'based', 'on', 'the', 'one', '-', 'year', 'U.S.', 'LIBOR', 'rate', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['The', 'remaining', 'principal', 'balance', 'on', 'this', 'convertible', 'note', 'payable', 'was', '$', '7,622', 'and', '$', '7,622', 'as', 'of', 'December', '31', ',', '2019', 'and', 'December', '31', ',', '2018', ',', 'respectively', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['Upon', 'conversion', ',', 'we', 'will', 'pay', 'or', 'deliver', ',', 'as', 'the', 'case', 'may', 'be', ',', 'cash', ',', 'shares', 'of', 'our', 'common', 'stock', ',', 'or', 'a', 'combination', 'of', 'cash', 'and', 'shares', 'of', 'our', 'common', 'stock', ',', 'at', 'our', 'election', '.', 'The', 'conversion', 'rate', 'for', 'the', 'notes', 'will', 'initially', 'be', '236.7424', 'shares', 'of', 'common', 'stock', 'per', '$', '1,000', 'principal', 'amount', 'of', '2025', 'Notes', '(', 'equivalent', 'to', 'an', 'initial', 'conversion', 'price', 'of', 'approximately', '$', '4.22', 'per', 'share', 'of', 'common', 'stock', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
3,"['Derivatives', 'and', 'Hedging', 'Activities', 'for', 'further', 'information', '.', 'On', 'September', '20', ',', '2016', ',', 'Aptiv', 'PLC', 'issued', '$', '300', 'million', 'in', 'aggregate', 'principal', 'amount', 'of', '4.40', '%', 'senior', 'unsecured', 'notes', 'due', '2046', '(', 'the', '“', '2016', 'Senior', 'Notes', '”', ')', 'in', 'a', 'transaction', 'registered', 'under', 'the', 'Securities', 'Act', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['Mitsubishi', 'Bank', 'loans', 'On', 'February', '25', ',', '2015', ',', 'the', 'Company', 'entered', 'into', 'certain', 'loan', 'agreements', 'and', 'related', 'agreements', 'with', 'MUFG', 'Bank', ',', 'Ltd.', '(', 'the', '“', 'Mitsubishi', 'Bank', '”', ')', 'that', 'provided', 'for', '(', 'i', ')', 'a', 'term', 'loan', 'in', 'the', 'aggregate', 'principal', 'amount', 'of', '500.0', 'million', 'JPY', '(', '$', '4.4', 'million', ')', '(', 'the', '“', 'Term', 'Loan', 'A', '”', ')', 'and', '(', 'ii', ')', 'a', 'term', 'loan', 'in', 'the', 'aggregate', 'principal', 'amount', 'of', 'one', 'billion', 'JPY', '(', 'approximately', '$', '9.3', 'million', ')', '(', 'the', '“', 'Term', 'Loan', 'B', '”', 'and', 'together', 'with', 'the', 'Term', 'Loan', 'A', ',', 'the', '“', '2015', 'Mitsubishi', 'Bank', 'Loans', '”', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['The', 'fair', 'value', 'of', 'the', 'Company', ""'s"", 'Term', 'Loan', 'B', 'Facility', 'was', 'approximately', '$', '840.0', 'million', 'and', '$', '815.5', 'million', 'as', 'of', 'March', '31', ',', '2019', 'and', 'December', '31', ',', '2018', ',', 'respectively', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['The', 'facility', 'had', 'an', 'interest', 'rate', 'of', '4.69', '%', 'at', 'June', '30', ',', '2019', '.']","[0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0]"
7,"['(', 'the', '“', 'Issuer', '”', ')', ',', 'a', 'wholly', 'owned', 'subsidiary', 'of', 'the', 'Company', ',', 'issued', '$', '350,000', 'aggregate', 'principal', 'amount', 'of', '3.70', '%', 'senior', 'notes', 'in', 'a', 'private', 'offering', ',', 'resulting', 'in', 'cash', 'proceeds', 'of', 'approximately', '$', '348,519', ',', 'net', 'of', 'an', 'underwriting', 'fee', 'of', '$', '1,481', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['The', 'term', 'loans', 'bear', 'interest', 'at', 'a', 'rate', 'of', 'Primeplus', '1.5', '%', ',', 'and', 'the', 'loans', 'mature', 'on', 'January', '12', ',', '2022', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 10, 10, 10, 0]"
9,"['These', 'notes', 'bear', 'interest', 'at', '3.93', '%', ',', 'payable', 'quarterly', 'in', 'arrears', 'on', 'each', 'January', '10', ',', 'April', '10', ',', 'July', '10', 'and', 'October', '10', ',', 'commencing', 'on', 'July', '10', ',', '2019', ',', 'and', 'will', 'mature', 'on', 'October', '10', ',', '2026', ',', 'unless', 'earlier', 'redeemed', 'by', 'the', 'Company', '.']","[0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
