,tokens,ner_tags
0,"['These', 'notes', 'bear', 'interest', 'at', 'a', 'rate', 'per', 'annum', ',', 'reset', 'quarterly', ',', 'equal', 'to', 'three', '-', 'month', 'EURIBOR', 'plus', '0.3', '%', '(', 'but', 'in', 'no', 'event', 'shall', 'the', 'interest', 'rate', 'be', 'less', 'than', 'zero', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['There', 'were', 'no', 'outstanding', 'borrowings', 'as', 'of', 'June', '30', ',', '2019', 'and', 'December', '31', ',', '2018', '.', 'WEX', 'Latin', 'America', 'Debt', 'WEX', 'Latin', 'America', 'had', 'debt', 'of', 'approximately', '$', '4.6', 'million', 'and', '$', '16.2', 'million', 'as', 'of', 'June', '30', ',', '2019', 'and', 'December', '31', ',', '2018', ',', 'respectively', '.']","[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['Long', '-', 'Term', 'Debt', 'Long', '-', 'Term', 'debt', ',', 'net', 'of', 'discounts', 'where', 'applicable', ',', 'is', 'summarized', 'as', 'follows', '(', 'in', 'millions', ')', ':', 'Current', 'Classification', 'of', '7.875', 'Percent', 'Convertible', 'Notes', 'The', '7.875', 'percent', 'senior', 'convertible', 'notes', 'due', '2026', '(', 'the', '""', '7.875', 'Percent', 'Convertible', 'Notes', '""', ')', 'were', 'classified', 'as', 'current', 'as', 'of', 'March', '31', ',', '2020', 'as', 'the', 'holders', 'are', 'entitled', 'to', 'convert', 'all', 'or', 'a', 'portion', 'of', 'their', '7.875', 'Percent', 'Convertible', 'Notes', 'at', 'any', 'time', 'beginning', 'April', '1', ',', '2020', 'and', 'prior', 'to', 'the', 'close', 'of', 'business', 'on', 'June', '30', ',', '2020', 'at', 'a', 'rate', 'of', '83.3333', 'shares', 'of', 'common', 'stock', 'per', '$', '1,000', 'principal', 'amount', 'at', 'maturity', 'of', 'the', '7.875', 'Percent', 'Convertible', 'Notes', '(', 'representing', 'a', 'conversion', 'price', 'of', 'approximately', '$', '12.00', 'per', 'share', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
3,"['$', '200.0', 'Million', 'Unsecured', 'Term', 'Loan', 'due', '2024In', '2018', ',', 'HTALP', 'entered', 'into', 'a', 'modification', 'of', 'our', '$', '200.0', 'million', 'unsecured', 'term', 'loan', 'with', 'a', 'maturity', 'date', 'of', 'January', '15', ',', '2024', '.']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['Mitsubishi', 'Bank', 'loans', 'On', 'February', '25', ',', '2015', ',', 'the', 'Company', 'entered', 'into', 'certain', 'loan', 'agreements', 'and', 'related', 'agreements', 'with', 'MUFG', 'Bank', ',', 'Ltd.', '(', 'the', '“', 'Mitsubishi', 'Bank', '”', ')', 'that', 'provided', 'for', '(', 'i', ')', 'a', 'term', 'loan', 'in', 'the', 'aggregate', 'principal', 'amount', 'of', '500.0', 'million', 'JPY', '(', '$', '4.4', 'million', ')', '(', 'the', '“', 'Term', 'Loan', 'A', '”', ')', 'and', '(', 'ii', ')', 'a', 'term', 'loan', 'in', 'the', 'aggregate', 'principal', 'amount', 'of', 'one', 'billion', 'JPY', '(', 'approximately', '$', '9.3', 'million', ')', '(', 'the', '“', 'Term', 'Loan', 'B', '”', 'and', 'together', 'with', 'the', 'Term', 'Loan', 'A', ',', 'the', '“', '2015', 'Mitsubishi', 'Bank', 'Loans', '”', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['Based', 'upon', 'recent', 'trading', 'prices', '(', 'Level', '2', '-', 'market', 'approach', ')', 'at', 'June', '30', ',', '2019', 'the', 'fair', 'value', 'of', 'the', 'Company', '’', 's', '$', '189.2', 'million', 'senior', 'unsecured', 'notes', 'was', '$', '191.8', 'million', ',', 'the', 'fair', 'value', 'of', 'the', 'Company', '’', 's', '$', '445.0', 'million', 'senior', 'secured', 'notes', 'was', '$', '461.7', 'million', 'and', 'the', 'fair', 'value', 'of', 'the', 'Company', '’', 's', '135.0', 'million', 'Euro', '(', '$', '153.5', 'million', 'USD', ')', 'senior', 'unsecured', 'notes', 'was', '$', '153.7', 'million', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
6,"['As', 'of', 'June', '30', ',', '2019', ',', 'the', 'applicable', 'LIBOR', 'was', '2.44', '%', 'and', 'the', 'margin', 'was', '1.38', '%', ',', 'the', 'sum', 'of', 'which', 'was', '3.82', '%', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['We', 'pay', 'interest', 'on', 'the', 'senior', 'notes', 'at', '5.25', '%', 'per', 'annum', ',', 'semi', '-', 'annually', 'in', 'arrears', 'on', 'May', '15', 'and', 'November', '15', 'of', 'each', 'year', '.', 'ABL', 'Facility', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['Long', '-', 'Term', 'Debt', 'Long', '-', 'term', 'debt', 'consists', 'of', 'the', 'following', '(', 'in', 'thousands', ')', ':', 'In', 'June', '2016', ',', 'the', 'Company', 'issued', '$', '425.0', 'million', 'aggregate', 'principal', 'amount', 'of', 'its', '3.125', 'percent', 'senior', 'unsecured', 'notes', 'due', 'June', '15', ',', '2021', '(', 'the', '“', '2016', 'Notes', '”', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 9, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['June', '30', ',', 'December', '31', ',', 'Bank', 'debt', '(', '3.9', '%', ')', '$', '895,000', '$', '943,000', 'Senior', 'notes', ':', '4.875', '%', 'senior', 'notes', 'due', '2025', '750,000', '750,000', '5.00', '%', 'senior', 'notes', 'due', '2023', '741,531', '741,531', '5.00', '%', 'senior', 'notes', 'due', '2022', '580,032', '580,032', '5.75', '%', 'senior', 'notes', 'due', '2021', '475,952', '475,952', '5.875', '%', 'senior', 'notes', 'due', '2022', '329,244', '329,244', 'Other', 'senior', 'notes', 'due', '2022', '590', '590', 'Total', 'senior', 'notes', '2,877,349', '2,877,349', 'Senior', 'subordinated', 'notes', ':', '5.00', '%', 'senior', 'subordinated', 'notes', 'due', '2023', '7,712', '7,712', '5.00', '%', 'senior', 'subordinated', 'notes', 'due', '2022', '19,054', '19,054', '5.75', '%', 'senior', 'subordinated', 'notes', 'due', '2021', '22,214', '22,214', 'Total', 'senior', 'subordinated', 'notes', '48,980', '48,980', 'Total', 'debt', '3,821,329', '3,869,329', 'Unamortized', 'premium', '4,070', '4,741', 'Unamortized', 'debt', 'issuance', 'costs', '(', '32,944', ')', '(', '37,209', ')', 'Total', 'debt', 'net', 'of', 'debt', 'issuance', 'costs', '$', '3,792,455', '$', '3,836,861', 'Bank', 'Debt', 'In', 'April', '2018', ',', 'we', 'entered', 'into', 'an', 'amended', 'and', 'restated', 'revolving', 'bank', 'facility', ',', 'which', 'we', 'refer', 'to', 'as', 'our', 'bank', 'debt', 'or', 'our', 'bank', 'credit', 'facility', ',', 'which', 'is', 'secured', 'by', 'substantially', 'all', 'of', 'our', 'assets', 'and', 'has', 'a', 'maturity', 'date', 'of', 'April', '13', ',', '2023', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 10, 10, 0]"
