sentence,real_label,pred_label
['As'],O,O
['of'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['EQM'],O,O
['owned'],O,O
['a'],O,O
['47.2'],B-EquityMethodInvestmentOwnershipPercentage,B-EquityMethodInvestmentOwnershipPercentage
['%'],O,O
['interest'],O,O
['in'],O,O
['the'],O,O
['MVP'],O,O
['Southgate'],O,O
['project'],O,O
['and'],O,O
['will'],O,O
['operate'],O,O
['the'],O,O
['pipeline'],O,O
['.'],O,O
['In'],O,O
['September'],O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['MVP'],O,O
['Joint'],O,O
['Venture'],O,O
['issued'],O,O
['a'],O,O
['capital'],O,O
['call'],O,O
['notice'],O,O
['for'],O,O
['the'],O,O
['funding'],O,O
['of'],O,O
['the'],O,O
['MVP'],O,O
['project'],O,O
['to'],O,O
['MVP'],O,O
['Holdco'],O,O
"[',']",O,O
['LLC'],O,O
['('],O,O
['MVP'],O,O
['Holdco'],O,O
[')'],O,O
"[',']",O,O
['a'],O,O
['direct'],O,O
"[',']",O,O
['wholly'],O,O
['-'],O,O
['owned'],O,O
['subsidiary'],O,O
['of'],O,O
['EQM'],O,O
"[',']",O,O
['for'],O,O
['$'],O,O
['254.9'],O,O
['million'],O,O
"[',']",O,O
['of'],O,O
['which'],O,O
['$'],O,O
['68.8'],O,O
['million'],O,O
['was'],O,O
['paid'],O,O
['in'],O,O
['October'],O,O
['2019'],O,O
['and'],O,O
['$'],O,O
['123.9'],O,O
['million'],O,O
['and'],O,O
['$'],O,O
['62.2'],O,O
['million'],O,O
['is'],O,O
['expected'],O,O
['to'],O,O
['be'],O,O
['paid'],O,O
['in'],O,O
['November'],O,O
['2019'],O,O
['and'],O,O
['December'],O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['As'],O,O
['of'],O,O
['September'],O,O
['27'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['approximately'],O,O
['17.6'],B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber
['million'],O,O
['unvested'],O,O
['RSU'],O,O
['awards'],O,O
['under'],O,O
['all'],O,O
['plans'],O,O
['were'],O,O
['outstanding'],O,O
"[',']",O,O
['of'],O,O
['which'],O,O
['vesting'],O,O
['for'],O,O
['a'],O,O
['targeted'],O,O
['amount'],O,O
['of'],O,O
['3.5'],B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber
['million'],O,O
['awards'],O,O
['is'],O,O
['contingent'],O,O
['primarily'],O,O
['on'],O,O
['meeting'],O,O
['certain'],O,O
['market'],O,O
['conditions'],O,O
['.'],O,O
,,
['Newmark'],O,O
['recognized'],O,O
['equity'],O,O
['income'],O,O
['of'],O,O
['$'],O,O
['4.8'],B-IncomeLossFromEquityMethodInvestments,B-IncomeLossFromEquityMethodInvestments
['million'],O,O
['and'],O,O
['$'],O,O
['1.8'],B-IncomeLossFromEquityMethodInvestments,B-IncomeLossFromEquityMethodInvestments
['million'],O,O
['for'],O,O
['the'],O,O
['three'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
['respectively'],O,O
['and'],O,O
['$'],O,O
['4.8'],B-IncomeLossFromEquityMethodInvestments,B-IncomeLossFromEquityMethodInvestments
['million'],O,O
['and'],O,O
['$'],O,O
['5.0'],B-IncomeLossFromEquityMethodInvestments,B-IncomeLossFromEquityMethodInvestments
['million'],O,O
['for'],O,O
['the'],O,O
['six'],O,O
['months'],O,O
['ended'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
,,
['The'],O,O
['Company'],O,O
['recorded'],O,O
['director'],O,O
['expense'],O,O
['related'],O,O
['to'],O,O
['these'],O,O
['restricted'],O,O
['share'],O,O
['grants'],O,O
['of'],O,O
['$'],O,O
"['175,000']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['and'],O,O
['$'],O,O
"['135,000']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['for'],O,O
['the'],O,O
['three'],O,O
['-'],O,O
['month'],O,O
['periods'],O,O
['ended'],O,O
['March'],O,O
['31'],O,O
"[',']",O,O
['2020'],O,O
['and'],O,O
['2019'],O,O
"[',']",O,O
['respectively'],O,O
['.'],O,O
['On'],O,O
['October'],O,O
['25'],O,O
"[',']",O,O
['2016'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['granted'],O,O
"['30,810']",B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod
['restricted'],O,O
['stock'],O,O
['shares'],O,O
['with'],O,O
['a'],O,O
['total'],O,O
['value'],O,O
['of'],O,O
['$'],O,O
"['560,000']",O,O
['to'],O,O
['certain'],O,O
['officers'],O,O
['that'],O,O
['are'],O,O
['being'],O,O
['expensed'],O,O
['over'],O,O
['the'],O,O
['vesting'],O,O
['period'],O,O
['of'],O,O
['three'],O,O
['years'],O,O
['.'],O,O
,,
['The'],O,O
['LSC'],O,O
['Entity'],O,O
['has'],O,O
['a'],O,O
['30'],B-EquityMethodInvestmentOwnershipPercentage,B-EquityMethodInvestmentOwnershipPercentage
['%'],O,O
['non'],O,O
['-'],O,O
['controlling'],O,O
['equity'],O,O
['interest'],O,O
['in'],O,O
['a'],O,O
['limited'],O,O
['partnership'],O,O
['.'],O,O
,,
['In'],O,O
['connection'],O,O
['with'],O,O
['the'],O,O
['Med'],O,O
['Equities'],O,O
['Merger'],O,O
"[',']",O,O
['we'],O,O
['issued'],O,O
['approximately'],O,O
['7.5'],B-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued,B-BusinessAcquisitionEquityInterestsIssuedOrIssuableNumberOfSharesIssued
['million'],O,O
['shares'],O,O
['of'],O,O
['Omega'],O,O
['common'],O,O
['stock'],O,O
['and'],O,O
['paid'],O,O
['approximately'],O,O
['$'],O,O
['63.7'],O,O
['million'],O,O
['of'],O,O
['cash'],O,O
['consideration'],O,O
['to'],O,O
['former'],O,O
['Med'],O,O
['Equities'],O,O
['stockholders'],O,O
['.'],O,O
,,
['The'],O,O
['per'],O,O
['share'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['RSUs'],O,O
['granted'],O,O
['during'],O,O
['the'],O,O
['second'],O,O
['quarter'],O,O
['of'],O,O
['fiscal'],O,O
['2020'],O,O
['was'],O,O
['$'],O,O
['113.02'],B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue
['('],O,O
['$'],O,O
['62.79'],B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue
['for'],O,O
['the'],O,O
['second'],O,O
['quarter'],O,O
['of'],O,O
['fiscal'],O,O
['2019'],O,O
[')'],O,O
"[',']",O,O
['which'],O,O
['were'],O,O
['calculated'],O,O
['based'],O,O
['on'],O,O
['estimates'],O,O
['at'],O,O
['the'],O,O
['date'],O,O
['of'],O,O
['grant'],O,O
['using'],O,O
['the'],O,O
['following'],O,O
['weighted'],O,O
['-'],O,O
['average'],O,O
['assumptions'],O,O
[':'],O,O
['For'],O,O
['the'],O,O
['majority'],O,O
['of'],O,O
['RSUs'],O,O
['granted'],O,O
"[',']",O,O
['the'],O,O
['number'],O,O
['of'],O,O
['shares'],O,O
['of'],O,O
['common'],O,O
['stock'],O,O
['issued'],O,O
['on'],O,O
['the'],O,O
['date'],O,O
['the'],O,O
['RSU'],O,O
['awards'],O,O
['vest'],O,O
['is'],O,O
['net'],O,O
['of'],O,O
['the'],O,O
['minimum'],O,O
['statutory'],O,O
['withholding'],O,O
['requirements'],O,O
['that'],O,O
['the'],O,O
['Company'],O,O
['pays'],O,O
['in'],O,O
['cash'],O,O
['to'],O,O
['the'],O,O
['appropriate'],O,O
['taxing'],O,O
['authorities'],O,O
['on'],O,O
['behalf'],O,O
['of'],O,O
['the'],O,O
['Company'],O,O
"[""'s""]",O,O
['employees'],O,O
['.'],O,O
,,
['Equity'],O,O
['investments'],O,O
['not'],O,O
['measured'],O,O
['at'],O,O
['fair'],O,O
['value'],O,O
['and'],O,O
['excluded'],O,O
['from'],O,O
['the'],O,O
['above'],O,O
['table'],O,O
['were'],O,O
['limited'],O,O
['partnerships'],O,O
['and'],O,O
['other'],O,O
['equity'],O,O
['method'],O,O
['investments'],O,O
['of'],O,O
['$'],O,O
['142'],B-EquityMethodInvestments,B-EquityMethodInvestments
['million'],O,O
['at'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['$'],O,O
['114'],B-EquityMethodInvestments,B-EquityMethodInvestments
['million'],O,O
['at'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['and'],O,O
['other'],O,O
['equity'],O,O
['investments'],O,O
['without'],O,O
['readily'],O,O
['determinable'],O,O
['fair'],O,O
['values'],O,O
['of'],O,O
['$'],O,O
['191'],O,O
['million'],O,O
['at'],O,O
['June'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['$'],O,O
['206'],O,O
['million'],O,O
['at'],O,O
['December'],O,O
['31'],O,O
"[',']",O,O
['2018'],O,O
['.'],O,O
,,
['Industrial'],O,O
['operations'],O,O
['are'],O,O
['conducted'],O,O
['through'],O,O
['PCT'],O,O
"[',']",O,O
['Kentucky'],O,O
['Trailer'],O,O
"[',']",O,O
['W'],O,O
['&'],O,O
['W|AFCO'],O,O
['Steel'],O,O
['and'],O,O
['a'],O,O
['45'],B-EquityMethodInvestmentOwnershipPercentage,B-EquityMethodInvestmentOwnershipPercentage
['percent'],O,O
['equity'],O,O
['interest'],O,O
['in'],O,O
['Wilbert'],O,O
['.'],O,O
,,
['For'],O,O
['the'],O,O
['three'],O,O
['and'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
"[',']",O,O
['the'],O,O
['Company'],O,O
['recorded'],O,O
['$'],O,O
['339'],B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
['and'],O,O
['$'],O,O
"['1,653']",B-AllocatedShareBasedCompensationExpense,B-AllocatedShareBasedCompensationExpense
"[',']",O,O
['respectively'],O,O
"[',']",O,O
['of'],O,O
['expense'],O,O
['related'],O,O
['to'],O,O
['the'],O,O
['performance'],O,O
['-'],O,O
['based'],O,O
['stock'],O,O
['award'],O,O
['.'],O,O
,,
['17'],O,O
['A'],O,O
['summary'],O,O
['of'],O,O
['our'],O,O
['restricted'],O,O
['share'],O,O
['awards'],O,O
['from'],O,O
['January'],O,O
['1'],O,O
"[',']",O,O
['2019'],O,O
['to'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['is'],O,O
['as'],O,O
['follows'],O,O
[':'],O,O
['The'],O,O
['fair'],O,O
['value'],O,O
['of'],O,O
['vested'],O,O
['restricted'],O,O
['share'],O,O
['awards'],O,O
['during'],O,O
['the'],O,O
['nine'],O,O
['months'],O,O
['ended'],O,O
['September'],O,O
['30'],O,O
"[',']",O,O
['2019'],O,O
['and'],O,O
['2018'],O,O
['was'],O,O
['$'],O,O
['3.0'],B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,B-ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue
['million'],O,O
['and'],O,O
['$'],O,O
