,tokens,ner_tags
0,"['During', 'the', 'three', 'months', 'ended', 'July', '31', ',', '2019', 'and', '2018', ',', '$', '15', 'and', '$', '942', 'was', 'charged', 'to', 'expense', ',', 'respectively', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1,"['EQUITY', 'Common', 'Stock', 'Issued', 'in', 'Connection', 'with', 'Scripps', 'Networks', 'Acquisition', 'On', 'March', '6', ',', '2018', ',', 'the', 'Company', 'issued', '139', 'million', 'shares', 'of', 'Series', 'C', 'common', 'stock', 'as', 'part', 'of', 'the', 'consideration', 'paid', 'for', 'the', 'acquisition', 'of', 'Scripps', 'Networks', ',', 'inclusive', 'of', 'the', 'conversion', 'of', '1', 'million', 'Scripps', 'Networks', 'share', '-', 'based', 'compensation', 'awards', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['(', '5', ')', 'We', 'hold', 'a', '32.28', '%', 'interest', 'in', 'three', 'retail', 'and', 'two', 'residential', 'units', 'at', 'the', 'property', 'and', 'a', '16.14', '%', 'interest', 'in', 'three', 'residential', 'units', 'at', 'the', 'property', '.']","[0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['de', 'C.V.', '(', '“', 'TCM', '”', ')', ',', 'a', 'forty', 'five', 'percent', '-', 'owned', 'unconsolidated', 'affiliate', 'that', 'operates', 'a', 'bulk', 'liquid', 'terminal', 'in', 'San', 'Luis', 'Potosí', ',', 'Mexico', ';', '•', 'Ferrocarril', 'y', 'Terminal', 'del', 'Valle', 'de', 'México', ',', 'S.A.', 'de', 'C.V.', '(', '“', 'FTVM', '”', ')', ',', 'a', 'twenty', 'five', 'percent', '-', 'owned', 'unconsolidated', 'affiliate', 'that', 'provides', 'railroad', 'services', 'as', 'well', 'as', 'ancillary', 'services', 'in', 'the', 'greater', 'Mexico', 'City', 'area', ';', 'and', '•', 'PTC-220', ',', 'LLC', '(', '“', 'PTC-220', '”', ')', ',', 'a', 'fourteen', 'percent', '-', 'owned', 'unconsolidated', 'affiliate', 'that', 'holds', 'the', 'licenses', 'to', 'large', 'blocks', 'of', 'radio', 'spectrum', 'and', 'other', 'assets', 'for', 'the', 'deployment', 'of', 'positive', 'train', 'control', '.', 'The', 'KCSM', 'Concession', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['(', 'E', ')', 'Includes', 'equity', 'in', 'earnings', 'of', 'unconsolidated', 'affiliates', 'of', '$', '5,363', 'for', 'Total', 'E', '&', 'P', '.', '(', 'F', ')', 'Includes', 'investments', 'in', 'unconsolidated', 'equity', 'affiliates', 'of', '$', '18,663', 'for', 'Total', 'E', '&', 'P', '.', '108', 'Industry', 'segment', 'results', 'for', 'the', 'year', 'ended', 'December', '31', ',', '2017', 'are', ':', '(', 'G', ')', 'Included', 'in', 'Total', 'Natural', 'Gas', ',', 'NGLs', 'and', 'Oil', 'Revenue', 'are', 'sales', 'of', '$', '153,656', 'to', 'Direct', 'Energy', 'Business', 'Marketing', 'LLC', 'and', '$', '147,595', 'to', 'NJR', 'Energy', 'Services', 'Company', ',', 'each', 'of', 'which', 'comprises', 'over', '10', '%', 'of', 'revenue', 'from', 'contracts', 'with', 'external', 'customers', 'for', 'the', 'period', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['For', 'the', 'first', 'quarter', 'of', '2018', ',', 'the', 'Company', 'recorded', 'equity', 'losses', 'of', '$', '4', 'million', 'at', 'the', 'Title', 'and', 'Settlement', 'Services', 'segment', 'primarily', 'related', 'to', 'costs', 'associated', 'with', 'the', 'ramp', 'up', 'of', 'operations', 'of', 'Guaranteed', 'Rate', 'Affinity', ',', 'including', '$', '2', 'million', 'of', 'amortization', 'of', 'intangible', 'assets', 'recorded', 'in', 'purchase', 'accounting', '.', 'The', 'Company', 'received', '$', '1', 'million', 'in', 'cash', 'dividends', 'from', 'equity', 'method', 'investments', 'during', 'both', 'the', 'three', 'months', 'ended', 'March', '31', ',', '2019', 'and', '2018', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['Employee', 'Stock', 'Purchase', 'Plan', 'The', 'fair', 'value', 'of', 'the', 'shares', 'was', 'estimated', 'at', 'the', 'date', 'of', 'grant', 'using', 'the', 'following', 'assumptions', '(', 'expense', 'amounts', 'in', 'thousands', ')', ':', 'Restricted', 'Stock', 'Units', 'During', 'the', 'three', 'and', 'six', 'months', 'ended', 'June', '29', ',', '2019', ',', 'the', 'Company', 'granted', 'RSUs', 'to', 'employees', ',', 'consultants', 'and', 'members', 'of', 'the', 'Company', ""'s"", 'board', 'of', 'directors', 'representing', 'the', 'right', 'to', 'receive', '6.2', 'million', 'and', '7.1', 'million', 'shares', 'of', 'the', 'Company', '’', 's', 'common', 'stock', ',', 'respectively', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['For', 'the', 'six', 'months', 'ended', 'June', '30', ',', '2018', ',', 'approximately', 'ten', 'million', 'restricted', 'stock', 'awards', 'and', 'units', 'were', 'granted', 'at', 'a', 'weighted', 'average', 'price', 'per', 'share', 'of', '$', '15.55', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0]"
8,"['The', 'fair', 'market', 'value', 'of', 'VF', 'Common', 'Stock', 'at', 'the', 'date', 'the', 'units', 'were', 'granted', 'was', '$', '84.23', 'per', 'share', '.', 'In', 'addition', ',', 'VF', 'granted', '163,559', 'nonperformance', '-', 'based', 'RSUs', 'to', 'employees', 'during', 'the', 'six', 'months', 'ended', 'September', '2019', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['We', 'awarded', '79,844', 'Relative', 'TSR', 'PRS', 'Us', 'and', '231,087', 'Relative', 'TSR', 'profit', 'interest', 'units', 'to', 'employees', 'on', 'January', '1', ',', '2019', '.']","[0, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
