,tokens,ner_tags
0,"['Loans', 'under', 'the', 'FILO', 'Tranche', ',', 'within', 'the', 'ABL', 'Facility', ',', 'bear', 'interest', 'at', 'an', 'alternate', 'base', 'rate', 'plus', 'an', 'applicable', 'margin', '(', 'ranging', 'from', '1.00', '%', 'to', '1.50', '%', 'pursuant', 'to', 'a', 'grid', 'based', 'on', 'average', 'excess', 'availability', ')', 'or', 'LIBOR', 'plus', 'an', 'applicable', 'margin', '(', 'ranging', 'from', '2.00', '%', 'to', '2.50', '%', 'pursuant', 'to', 'a', 'grid', 'based', 'on', 'average', 'excess', 'availability', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"['The', 'fair', 'value', 'of', 'these', 'senior', 'notes', 'with', 'a', 'notional', 'value', 'and', 'carrying', 'value', '(', 'gross', 'of', 'debt', 'cost', ')', 'of', '$', '500', 'million', 'was', 'estimated', 'using', 'a', 'quoted', 'price', 'as', 'provided', 'in', 'the', 'secondary', 'market', ',', 'which', 'considers', 'the', 'Company', ""'s"", 'credit', 'risk', 'and', 'market', 'related', 'conditions', ',', 'and', 'is', 'therefore', 'within', 'Level', '2', 'of', 'the', 'fair', 'value', 'hierarchy', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['With', 'respect', 'to', 'the', 'Revolver', ',', 'as', 'of', 'September', '30', ',', '2019', ',', 'we', 'had', '$', '7.1', 'in', 'outstanding', 'letters', 'of', 'credit', 'issued', 'and', '$', '892.9', 'of', 'maximum', 'borrowing', 'capacity', ',', 'all', 'of', 'which', 'was', 'immediately', 'available', 'based', 'on', 'our', 'most', 'restrictive', 'covenant', 'at', 'September', '30', ',', '2019', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['The', 'Partnership', 'had', 'the', 'maximum', 'amount', 'of', 'remaining', 'revolving', 'credit', 'available', 'for', 'borrowing', 'at', 'September', '30', ',', '2019', ',', 'or', '$', '354.0', 'million', '.', 'At', 'December', '31', ',', '2018', ',', 'the', 'outstanding', 'balance', 'on', 'the', 'revolving', 'credit', 'facility', 'was', '$', '84.0', 'million', 'at', 'an', 'interest', 'rate', 'of', '4.21', '%', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 0, 0]"
4,"['The', 'Credit', 'Agreement', 'also', 'requires', 'the', 'Company', 'to', 'pay', 'a', 'commitment', 'fee', 'for', 'the', 'unused', 'portion', 'of', 'the', 'Revolving', 'Facility', ',', 'which', 'will', 'be', 'a', 'minimum', 'of', '0.20', '%', 'and', 'a', 'maximum', 'of', '0.35', '%', ',', 'depending', 'on', 'the', 'Company', ""'s"", 'leverage', 'ratio', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"['See', 'Note', '6', 'for', 'further', 'details', 'regarding', 'our', 'interest', 'rate', 'lock', 'agreements', '.', 'Revolving', 'Credit', 'Agreement', 'In', 'October', '2018', ',', 'we', 'entered', 'into', 'a', 'credit', 'agreement', '(', '“', 'Revolving', 'Credit', 'Agreement', '”', ')', ',', 'providing', 'for', 'a', 'five', '-', 'year', '$', '1', 'billion', 'senior', 'unsecured', 'revolving', 'credit', 'facility', ',', 'which', 'replaced', 'our', 'previous', 'five', '-', 'year', '$', '1', 'billion', 'senior', 'unsecured', 'revolving', 'credit', 'agreement', 'dated', 'as', 'of', 'March', '2', ',', '2012', '(', 'as', 'amended', ',', 'the', '“', 'Prior', 'Revolving', 'Credit', 'Agreement', '”', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,"['The', 'interest', 'rate', 'on', 'the', 'Term', 'A', 'Facility', 'was', '4.152', '%', 'and', 'the', 'Term', 'B', 'Facility', 'was', '4.652', '%', ',', 'inclusive', 'of', 'the', 'applicable', 'margins', ',', 'as', 'of', 'June', '30', ',', '2019', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"['that', 'provided', 'for', 'a', 'senior', 'secured', 'revolving', 'credit', 'facility', '(', 'the', '“', 'Facility', '”', ')', 'in', 'the', 'aggregate', 'principal', 'amount', 'of', '$', '50.0', 'million', '(', 'the', '“', 'Revolving', 'Commitment', '”', ')', ',', 'which', 'could', 'be', 'increased', 'to', 'up', 'to', '$', '100.0', 'million', ',', 'subject', 'to', 'obtaining', 'additional', 'lender', 'commitments', 'and', 'certain', 'approvals', 'and', 'satisfying', 'certain', 'other', 'conditions', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"['The', 'company', 'currently', 'has', '$', '128.0', 'million', 'available', 'under', 'its', 'facility', 'for', 'working', 'capital', 'and', 'general', 'corporate', 'purposes', '.']","[0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['Amounts', 'not', 'borrowed', 'under', 'the', 'revolver', 'are', 'subject', 'to', 'a', 'commitment', 'fee', ',', 'which', 'is', 'paid', 'in', 'arrears', 'on', 'the', 'last', 'day', 'of', 'each', 'fiscal', 'quarter', ',', 'ranging', 'from', '0.18', '%', 'to', '0.35', '%', 'per', 'annum', 'depending', 'on', 'our', 'total', 'leverage', 'ratio', 'as', 'of', 'the', 'most', 'recently', 'ended', 'fiscal', 'quarter', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
