,tokens,ner_tags
0,"['The', 'purchase', 'price', 'will', 'be', 'capitalized', 'as', 'a', 'developed', '-', 'technology', 'intangible', 'asset', 'in', 'the', 'quarter', 'ending', 'September', '30', ',', '2019', 'and', 'will', 'be', 'amortized', 'over', 'its', 'estimated', 'useful', 'life', 'of', '12', 'years', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1,"['The', 'Company', 'determined', 'the', 'economic', 'useful', 'life', 'to', 'be', 'five', 'years', 'based', 'on', 'expected', 'time', 'period', 'that', 'the', 'asset', 'would', 'contribute', 'to', 'the', 'Company', '’', 's', 'future', 'cash', 'flows', 'without', 'significant', 'upgrades', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"['10', '4', '.', 'Business', 'combinations', 'Good', 'Start', 'Genetics', 'In', 'August', '2017', ',', 'we', 'acquired', '100', '%', 'of', 'the', 'fully', 'diluted', 'equity', 'of', 'Good', 'Start', ',', 'a', 'privately', 'held', 'molecular', 'diagnostics', 'company', 'focused', 'on', 'preimplantation', 'and', 'carrier', 'screening', 'for', 'inherited', 'disorders', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"['There', 'were', 'no', 'deal', 'costs', 'related', 'to', 'acquisitions', 'for', 'the', 'three', 'months', 'ended', 'June', '29', ',', '2019', '.']","[0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"['C.', 'Acquisitions', 'NSCC', 'Carbon', '(', 'Jiangsu', ')', 'Co.', 'Ltd', 'In', 'September', '2018', ',', 'the', 'Company', 'acquired', 'NSCC', 'Carbon', '(', 'Jiangsu', ')', 'Co.', 'Ltd', ',', 'a', 'carbon', 'black', 'manufacturing', 'facility', 'in', 'Pizhou', ',', 'Jiangsu', 'Province', ',', 'China', 'for', 'a', 'purchase', 'price', 'of', '$', '8', 'million', ',', 'subject', 'to', 'certain', 'conditions', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]"
5,"['10', 'Table', 'of', 'Contents', 'The', 'Company', '’', 's', 'significant', 'financial', 'assets', 'and', 'liabilities', 'measured', 'at', 'fair', 'value', 'as', 'of', 'March', '29', ',', '2020', 'and', 'December', '29', ',', '2019', 'were', 'as', 'follows', ':', '11', 'Table', 'of', 'Contents', 'Summarized', 'information', 'about', 'changes', 'in', 'liabilities', 'for', 'contingent', 'consideration', 'is', 'as', 'follows', ':', '(', '1', ')', 'December', '30', ',', '2019', 'assets', 'and', 'liabilities', 'are', 'all', 'classified', 'as', 'Level', '2', 'with', 'the', 'exception', 'of', 'equity', 'investments', 'of', '$', '1,148', 'million', ',', 'which', 'are', 'classified', 'as', 'Level', '1', 'and', 'contingent', 'consideration', 'of', '$', '1,715', 'million', ',', 'classified', 'as', 'Level', '3', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0]"
6,"['Based', 'on', 'the', 'Company', ""'s"", 'valuation', ',', 'it', 'allocated', '$', '4.6', 'million', 'of', 'the', 'purchase', 'price', 'to', 'the', 'value', 'of', 'customer', 'relationship', 'intangible', 'assets', 'and', '$', '5.7', 'million', 'to', 'goodwill', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0]"
7,"['The', 'Company', '’', 's', 'acquisition', 'of', 'Eliane', 'resulted', 'in', 'allocations', 'of', 'goodwill', 'of', '$', '18,062', ',', 'indefinite', '-', 'lived', 'tradename', 'intangible', 'assets', 'of', '$', '32,238', 'and', 'intangible', 'assets', 'subject', 'to', 'amortization', 'of', '$', '5,818', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0]"
8,"['Other', 'Acquisitions', 'The', 'Company', 'has', 'made', 'the', 'following', 'acquisition', 'operating', 'as', 'a', 'business', 'unit', 'or', 'component', 'of', 'a', 'business', 'unit', 'in', 'the', 'Transit', 'Segment', ':', '•', 'On', 'March', '22', ',', '2018', ',', 'the', 'Company', 'acquired', 'Annax', 'GmbH', '(', '""', 'Annax', '""', ')', ',', 'a', 'leading', 'supplier', 'of', 'public', 'address', 'and', 'passenger', 'information', 'systems', 'for', 'transit', 'vehicles', ',', 'for', 'a', 'purchase', 'price', 'of', 'approximately', '$', '45.2', 'million', ',', 'net', 'of', 'cash', 'acquired', 'and', 'including', 'contingent', 'consideration', ',', 'resulting', 'in', 'final', 'goodwill', 'of', '$', '38.5', 'million', ',', 'none', 'of', 'which', 'will', 'be', 'deductible', 'for', 'tax', 'purposes', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,"['Black', 'Diamond', 'Gathering', 'Holdings', 'LLC', '(', 'the', '“', 'Noble', 'Member', '”', ')', 'and', 'the', 'Greenfield', 'Member', 'each', 'funded', 'its', 'share', 'of', 'the', 'purchase', 'price', ',', 'approximately', '$', '319.9', 'million', 'and', '$', '318.6', 'million', ',', 'respectively', ',', 'through', 'contributions', 'to', 'Black', 'Diamond', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
